iter	F1	CrossEntropy
0	0.7378924558	0.6826498034
1	0.7581408557	0.6731165292
2	0.7577246849	0.6650755815
3	0.7586474555	0.6568906301
4	0.7580676706	0.6489813275
5	0.7574522418	0.6417746423
6	0.7579564899	0.6350133316
7	0.7565853659	0.6289365773
8	0.759796067	0.6234369196
9	0.760564747	0.618038996
10	0.7638922592	0.6149013454
11	0.7633765855	0.6115230501
12	0.7637194381	0.6070343295
13	0.7658144631	0.6023260785
14	0.7644622058	0.6001292112
15	0.7643150283	0.596168628
16	0.7657142857	0.5939305536
17	0.7652063368	0.5919551959
18	0.762909766	0.5879904024
19	0.7643063089	0.5843725921
20	0.7644066138	0.5811307799
21	0.7641560221	0.5783296447
22	0.7652430044	0.5765258567
23	0.7655097827	0.5750898832
24	0.7667224904	0.5733278747
25	0.7677729772	0.5707729072
26	0.7678395911	0.5682853879
27	0.7680290823	0.5660113894
28	0.7679881803	0.5644558013
29	0.7696476965	0.5634387208
30	0.7683498692	0.5620193057
31	0.7681602842	0.5598590818
32	0.7680236862	0.5588667153
33	0.7718604881	0.5571748375
34	0.7706848773	0.5558522393
35	0.7718446602	0.5545691269
36	0.7720566393	0.5529029512
37	0.7733636768	0.5516197578
38	0.7739410453	0.5505226914
39	0.7742800397	0.5496261558
40	0.7739916551	0.5485427198
41	0.7748795151	0.5467208141
42	0.7750136551	0.5453969592
43	0.7765862377	0.5446940952
44	0.7758431997	0.543592985
45	0.7761907132	0.5421899021
46	0.7771240527	0.5413272774
47	0.7775002498	0.5403487168
48	0.7780778078	0.5392615326
49	0.7782723953	0.537836183
50	0.7785396126	0.5363164826
51	0.7804585044	0.5354912398
52	0.781433078	0.5346341911
53	0.7819428457	0.5339374869
54	0.7817890092	0.5329106221
55	0.7819714917	0.5322900421
56	0.783472069	0.5315424754
57	0.7835775949	0.5309500748
58	0.783831283	0.5303641722
59	0.7839710756	0.5291229573
60	0.7842369478	0.5283878004
61	0.7845659164	0.5276206681
62	0.7847846842	0.5271817642
63	0.7858542221	0.5263318592
64	0.7862560908	0.5257216727
65	0.7865428069	0.5248283932
66	0.7875772652	0.5240094933
67	0.7880921251	0.52330434
68	0.7876867361	0.5228102375
69	0.7880831362	0.5221594715
70	0.7888855331	0.5214644774
71	0.7901992353	0.5210238079
72	0.7898262402	0.5204496104
73	0.7893940921	0.5196120203
74	0.7900811451	0.5190096203
75	0.7914169143	0.5184714976
76	0.7921081845	0.5175371487
77	0.7916561442	0.5171036729
78	0.7928528165	0.5164295186
79	0.7924604578	0.5158142893
80	0.7927408755	0.5153702045
81	0.7927809514	0.5149276205
82	0.7925405569	0.5141428666
83	0.7928611153	0.5137780949
84	0.7934485896	0.5132602093
85	0.7937294564	0.5127972666
86	0.7941726946	0.5122159193
87	0.7939688322	0.5114496702
88	0.7944997725	0.5111972181
89	0.7951466127	0.5102316242
90	0.7960163794	0.5097168789
91	0.79542348	0.5090250305
92	0.7961332119	0.5087635112
93	0.7962944214	0.5084031539
94	0.7969232326	0.50791001
95	0.7973895887	0.5073041135
96	0.7975509791	0.5067452653
97	0.7984009716	0.5062021262
98	0.7979751962	0.505405165
99	0.7982580514	0.5049926752
100	0.7982984757	0.5040619117
